thevanvt114  Administrator	 202210022230   42.119.150.194 : 192.168.1.9	 Da Rut THanh Cong 200
thevanvt114  Administrator	 202210022231   42.119.150.194 : 192.168.1.9	 Da Rut THanh Cong 200
thevanvt114  Administrator	 202210022231   42.119.150.194 : 192.168.1.9	 Da Rut THanh Cong 2
thevanvt114  Administrator	 202210022231   42.119.150.194 : 192.168.1.9	 Da Rut THanh Cong 23
thevanvt114  Administrator	 202210022231   42.119.150.194 : 192.168.1.9	 Da Rut THanh Cong 78
thevanvt114  Administrator	 202210022231   42.119.150.194 : 192.168.1.9	 Da Rut THanh Cong 95
vanngoc101  AnhŸB«u	 202210022335   116.98.226.34 : 192.168.1.3	 Da Rut THanh Cong 200
vanngoc101  AnhŸB«u	 202210022335   116.98.226.34 : 192.168.1.3	 Da Rut THanh Cong 200
vanngoc101  AnhŸB«u	 202210031200   116.98.226.34 : 192.168.1.3	 Da Rut THanh Cong 200
vanngoc101  AnhŸB«u	 202210031217   116.98.226.34 : 192.168.1.3	 Da Rut THanh Cong 100
lethanhson1993  70ŸPinŸNguy‘n	 202210031224   27.78.44.135 : 192.168.1.9	 Da Rut THanh Cong 200
lethanhson1993  70ŸPinŸNguy‘n	 202210031224   27.78.44.135 : 192.168.1.9	 Da Rut THanh Cong 200
thevanvt114  Administrator	 202210031234   42.119.150.209 : 192.168.1.250	 Da Rut THanh Cong 200
vanngoc101  AnhŸB«u	 202210031408   116.98.226.34 : 192.168.1.3	 Da Rut THanh Cong 200
vanngoc101  AnhŸB«u	 202210031447   116.98.226.34 : 192.168.1.3	 Da Rut THanh Cong 200
thanhtruong2022  Tr≠¨ngŸTamŸPhong	 202210031738   153.165.114.138 : 192.168.10.104	 Da Rut THanh Cong 2
thevanvt114  Administrator	 202210031943   42.119.150.209 : 192.168.1.250	 Da Rut THanh Cong 2
thevanvt114  Administrator	 202210031944   42.119.150.209 : 192.168.1.250	 Da Rut THanh Cong 200
vanngoc101  AnhŸB«u	 202210032007   116.98.226.34 : 192.168.1.3	 Da Rut THanh Cong 200
thevanvt114  Administrator	 202210032021   42.119.150.209 : 192.168.1.250	 Da Rut THanh Cong 200
thevanvt114  Administrator	 202210032022   42.119.150.209 : 192.168.1.250	 Da Rut THanh Cong 200
vanngoc101  AnhŸB«u	 202210032045   116.98.226.34 : 192.168.1.3	 Da Rut THanh Cong 200
thevanvt114  Administrator	 202210032211   42.119.150.209 : 192.168.1.250	 Da Rut THanh Cong 200
thevanvt114  Administrator	 202210032211   42.119.150.209 : 192.168.1.250	 Da Rut THanh Cong 200
thevanvt114  Administrator	 202210032211   42.119.150.209 : 192.168.1.250	 Da Rut THanh Cong 200
thevanvt114  Administrator	 202210032220   42.119.150.209 : 192.168.1.250	 Da Rut THanh Cong 200
thevanvt114  Administrator	 202210032221   42.119.150.209 : 192.168.1.250	 Da Rut THanh Cong 200
thevanvt114  Administrator	 202210032226   42.119.150.209 : 192.168.1.250	 Da Rut THanh Cong 200
thevanvt114  Administrator	 202210040737   42.119.150.247 : 192.168.1.250	 Da Rut THanh Cong 200
thevanvt114  Administrator	 202210040737   42.119.150.247 : 192.168.1.250	 Da Rut THanh Cong 200
thevanvt114  Administrator	 202210040841   42.119.150.247 : 192.168.1.250	 Da Rut THanh Cong 100
thevanvt114  Administrator	 202210040914   42.119.150.247 : 192.168.1.250	 Da Rut THanh Cong 20
thevanvt114  Administrator	 202210040914   42.119.150.247 : 192.168.1.250	 Da Rut THanh Cong 200
thevanvt114  Administrator	 202210040922   42.119.150.247 : 192.168.1.250	 Da Rut THanh Cong 200
lethanhson1993  70ŸPinŸNguy‘n	 202210040927   27.78.44.135 : 192.168.1.10	 Da Rut THanh Cong 140
